id,title,category,start_time,end_time,duration_minutes,date
137,Gym - Chest & Triceps,Gym,07:00,08:30,90,2026-03-02
138,Data Structures,Academics,10:00,11:30,90,2026-03-02
139,Cook Dinner,Cooking,19:00,20:00,60,2026-03-02
140,Gym - Back & Biceps,Gym,07:00,08:30,90,2026-03-03
141,Web Development,Academics,09:00,10:30,90,2026-03-03
142,Football Practice,Sports,18:00,20:00,120,2026-03-03
143,Gym - Leg Day,Gym,07:00,08:30,90,2026-03-04
144,Data Structures,Academics,10:00,11:30,90,2026-03-04
145,Gaming Session,Recreation,20:00,22:30,150,2026-03-04
146,Gym - Shoulders & Arms,Gym,07:00,08:30,90,2026-03-05
147,Web Development,Academics,09:00,10:30,90,2026-03-05
148,Football Practice,Sports,18:00,20:00,120,2026-03-05
149,Gym - Core & Cardio,Gym,07:00,08:00,60,2026-03-06
150,Python Programming,Academics,14:00,15:30,90,2026-03-06
151,Coffee with Friends,Recreation,16:00,17:30,90,2026-03-06
152,Football Match,Sports,15:00,17:00,120,2026-03-07
153,Movie Night,Recreation,20:00,22:00,120,2026-03-07
154,Meal Prep,Cooking,17:00,18:30,90,2026-03-08
